Комедия	комедия+N+Sg+Nom;комедия[N]: комедия;
ачылганда	ач+V+PASS(Ыл)+PCP_PS(ГАн)+LOC(ДА);ач[V]: открывать, открыть | ачыл[V]: открываться, открыться;ачыл+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
сәхнәдә	сәхнә+N+Sg+LOC(ДА);сәхнә[N]: сцена;
Вәли	вәли+PROP+Sg+Nom;
күренә	күр+V+REFL(Ын)+PRES(Й);күрен+V+PRES(Й);
;	Type2
өстенә	өс+N+Sg+POSS_3(СЫ)+DIR(ГА);өстенә+POST;
пальтосын	пальто+N+Sg+POSS_3(СЫ)+ACC(нЫ);
кигән	ки+V+PCP_PS(ГАн);ки+V+PST_INDF(ГАн);
,	Type2
кулына	кул+N+Sg+POSS_3(СЫ)+DIR(ГА);
таяк	тай+V+HOR_PL(Йк);таяк+N+Sg+Nom;таяк[N]: палка;
тоткан	тот+V+PCP_PS(ГАн);тот+V+PST_INDF(ГАн);
,	Type2
күңеле	күңел+N+Sg+POSS_3(СЫ)+Nom;
бик	бик+Adv;
шат	шат+Adj;
,	Type2
өйнең	өй+N+Sg+GEN(нЫң);
бер	бер+Num;бер+PN;
башыннан	баш+N+Sg+POSS_3(СЫ)+ABL(ДАн);
бер	бер+Num;бер+PN;
башына	баш+N+Sg+POSS_3(СЫ)+DIR(ГА);
кызу-кызу	кызу-кызу+Adv;
атлап	ат+N+DISTR(лАп);атла+V+ADVV_ACC(Ып);
йөри	йөр+V+PRES(Й);
.	Type1
Вәли	вәли+PROP+Sg+Nom;
(	Type3
кычкырып	кычкыр+V+ADVV_ACC(Ып);
)	Type3
.	Type1
Гафифә	гафифә+N+Sg+Nom;
!	Type1
Гафифә	гафифә+N+Sg+Nom;
!	Type1
Гафифә	гафифә+N+Sg+Nom;
(	Type3
бүлмәдән	бүлмә+N+Sg+ABL(ДАн);бүлмә[N]: комната;
сузыбрак	суз+V+ADVV_ACC(Ып)+COMP(рАк)+Sg+Nom;суз[V]: тянуть;
)	Type3
.	Type1
әү	әү+INTRJ;
!	Type1
Вәли	вәли+PROP+Sg+Nom;
.	Type1
Буласыңмы	бул+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom+INT(мЫ);бул+V+PRES(Й)+2SG(сЫң)+INT(мЫ);бул[V]: быть, случиться;
инде	инде+PART;
?	Type1
Гафифә	гафифә+N+Sg+Nom;
.	Type1
Хәзер	хәзер+Adv;
булам	бул+V+PRES(Й)+1SG(м);
.	Type1
Вәли	вәли+PROP+Sg+Nom;
.	Type1
Тизрәк	тиз+Adj+COMP(рАк)+Sg+Nom;
бул	бул+V+IMP_SG();
!	Type1
(	Type3
Халыкка	халык+N+Sg+DIR(ГА);халык[N]: народ, толпа, народный;
таба	таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);
карап	кара+V+ADVV_ACC(Ып);
.	Type1
)	Type3
Гафифә	гафифә+N+Sg+Nom;
дисәң	ди+V+COND(сА)+2SG(ң);
Гафифә	гафифә+N+Sg+Nom;
:	Type2
бер	бер+Num;бер+PN;
җиргә	җир+N+Sg+DIR(ГА);
бара	бар+V+PRES(Й);
