NR	таба;	таба: к, сковорода
таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);	узган;
уз+V+PCP_PS(ГАн);уз+V+PST_INDF(ГАн);узган+Adj;	карчыкның;
кар+N+DIM(чЫк)+Sg+GEN(нЫң);карчык+N+Sg+GEN(нЫң);	:;
Type2	—;	—: —
Type2	Төпләре;
төп+Adj+PL(ЛАр)+POSS_3(СЫ)+Nom;төп+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	көймәгәнме;
көй+V+NEG(мА)+PCP_PS(ГАн)+INT(мЫ);көй+V+NEG(мА)+PST_INDF(ГАн)+INT(мЫ);	?;
Type1	өсләре;
өс+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	ничек;	ничек: как
ничек+PN;	?;
Type1	—;	—: —
Type2	дигән;
ди+V+PCP_PS(ГАн);ди+V+PST_INDF(ГАн);	тавышын;
тавыш+N+Sg+POSS_3(СЫ)+ACC(нЫ);	ишетеп;
ишет+V+ADVV_ACC(Ып);	,;	,: ,
Type2	тагын;	тагын: ещё, опять, снова
тагын+Adv;	шиккә;
шик+N+Sg+DIR(ГА);	төште;
төш+V+PST_DEF(ДЫ);	:;
Type2	—;	—: —
Type2	Кумаслар;
ку+V+FUT_INDF_NEG(мАс)+3PL(ЛАр);ку+V+PCP_FUT(мАс)+3PL(ЛАр);ку+V+PCP_FUT(мАс)+PL(ЛАр)+Nom;	микән;
микән+PART;	безне;
без+PN+ACC(нЫ);	моннан;
бу+PN+ABL(ДАн);моннан+PN;	?;
Мәликә	мәликә+PROP+Sg+Nom;
апа	апа+N+Sg+Nom;	апа[N]: сестра, тетя
,	Type2
аңа	ул+PN+DIR(ГА);	ул[PN]: он, она, оно, они, его, их
ишетелер-ише	ишетелер-иш+N+Sg+POSS_3(СЫ)+Nom;
Error	телмәс;
тел+V+FUT_INDF_NEG(мАс);тел+V+PCP_FUT(мАс)+A;	басынкы;
басынкы+Adj;	тавыш;	тавыш: голос, звук, крик, шум
тавыш+N+Sg+Nom;	белән;	белән: и, на, с
белән+POST;	җавап;	җавап: ответ
җавап+N+Sg+Nom;	кайтарды;
кайтар+V+PST_DEF(ДЫ);	:;
Type2	—;	—: —
Type2	Юк-барны;
юк-бар+N+Sg+ACC(нЫ);	уйлама;
уйла+V+NEG(мА)+IMP_SG();	,;	,: ,
Type2	кызым;
кыз+N+Sg+POSS_1SG(Ым)+Nom;	.;
Type1	Миһербанлы;
миһербан+N+ATTR_MUN(лЫ)+Sg;	кешеләр;
кеше+N+PL(ЛАр)+Nom;	дә;
дә+PART;	бар;	бар: весь, идти, пойти, быть, бар
бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();	күренә;
күр+V+REFL(Ын)+PRES(Й);күрен+V+PRES(Й);	бу;	бу: это, здесь, этот, душить
бу+PN;	йортта;
йорт+N+Sg+LOC(ДА);	.;
Type1	Рәнҗетмәсләр;
рәнҗе+V+CAUS(т)+FUT_INDF_NEG(мАс)+3PL(ЛАр);рәнҗе+V+CAUS(т)+PCP_FUT(мАс)+3PL(ЛАр);рәнҗе+V+CAUS(т)+PCP_FUT(мАс)+PL(ЛАр)+Nom;рәнҗет+V+FUT_INDF_NEG(мАс)+3PL(ЛАр);рәнҗет+V+PCP_FUT(мАс)+3PL(ЛАр);рәнҗет+V+PCP_FUT(мАс)+PL(ЛАр)+Nom;	әле;	әле: ещё, пока, пожалуйста, настоящий, сегодняшний
әле+CNJ;әле+PART;	.;
Type1	Шуннан;
шул+PN+ABL(ДАн);	ул;	ул: он, она, оно, они, его, их, этот, сын
ул+N+Sg+Nom;ул+PN;	»;	»: »
Type4	,;	,: ,
Type2	зур;	зур: большой
зур+Adj;	төенне;
төен+N+Sg+ACC(нЫ);	чишеп;
чиш+V+ADVV_ACC(Ып);	,;	,: ,
Type2	бер;	бер: один, первый
бер+Num;бер+PN;	өлешен;
өлеш+N+Sg+POSS_3(СЫ)+ACC(нЫ);	аска;
ас+N+Sg+DIR(ГА);	,;	,: ,
Type2	калганнарын;
кал+V+PCP_PS(ГАн)+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	баш;	баш: голова
баш+N+Sg+Nom;	.;
Type1	астына;
ас+N+Sg+POSS_3(СЫ)+DIR(ГА);ас+V+CAUS(т)+REFL(Ын)+PRES(Й);астына+POST;	салды;
сал+V+PST_DEF(ДЫ);	да;	да: тоже, и
да+PART;	,;	,: ,
Type2	Нәсимәгә;
нәсимә+PROP+DIR(ГА);	урын;	урын: место
урын+N+Sg+Nom;	күрсәтте;
күрсәт+V+PST_DEF(ДЫ);	:;
Type2	—;	—: —
Type2	Ятыр;
ят+V+FUT_INDF(Ыр);ят+V+PCP_FUT(Ыр);	корсак;	корсак: живот
кор+V+COND(сА)+1PL(к);корсак+N+Sg+Nom;	ятыр;
ят+V+FUT_INDF(Ыр);ят+V+PCP_FUT(Ыр);	,;	,: ,
Type2	хәзер;	хәзер: сейчас, нынешний
хәзер+Adv;	таң;	таң: заря
таң+N+Sg+Nom;	атыр;
ат+V+FUT_INDF(Ыр);ат+V+PCP_FUT(Ыр);	.;
Type1	Абыеңның;
абый+N+Sg+POSS_2SG(Ың)+GEN(нЫң);	чикмәнен;
чикмән+N+Sg+POSS_3(СЫ)+ACC(нЫ);	ябын;
ябын+V+IMP_SG();яп+V+REFL(Ын)+IMP_SG();	да;	да: тоже, и
да+PART;	,;	,: ,
Type2	тыныч;	тыныч: мирный, спокойный, мирно, спокойно
тыныч+Adj;	кына;
кына+PART;	йокла;	йокла: спать
йокла+V+IMP_SG();	.;
Type1	Ул;	Ул: он, она, оно, они, его, их, этот, сын
ул+N+Sg+Nom;ул+PN;	арада;
ара+N+Sg+LOC(ДА);арада+POST;	,;	,: ,
Type2	кызган;	кызган: жалеть
кыз+V+PCP_PS(ГАн);кыз+V+PST_INDF(ГАн);кызган+V+IMP_SG();	ит;	ит: делать, сделать, мясо
и+V+CAUS(т)+IMP_SG();ит+N+Sg+Nom;ит+V+IMP_SG();	катнаш;	катнаш: участвовать, участие
катна+V+RECP(Ыш)+IMP_SG();катна+V+VN_2(Ыш)+Nom;катнаш+Adj;катнаш+N+Sg+Nom;катнаш+V+IMP_SG();	майлы;	майлы: жирный, масляный
май+N+ATTR_MUN(лЫ);	камыр;	камыр: тесто
камыр+N+Sg+Nom;	исе;
ис+N+Sg+POSS_3(СЫ)+Nom;	җәйрәтеп;
җәйрә+V+CAUS(т)+ADVV_ACC(Ып);	,;	,: ,
Type2	Га;
га+N+Sg+Nom;	,;	,: ,
Type2	Error
фифә	фифә+N+Sg+Nom;
белән	белән+POST;	белән[POST]: на, с
әлеге	әлеге+Adj;	әлеге[Adj]: теперешний, упомянуть
карчык	карчык+N+Sg+Nom;	карчык[N]: старуха
үтеп	үт+V+ADVV_ACC(Ып);	үт[V]: пройти, проходить
киттеләр	ки+V+CAUS(т)+PST_DEF(ДЫ)+3PL(ЛАр);кит+V+CAUS(т)+PASS(Ыл)+PCP_FUT(Ыр);кит+V+PST_DEF(ДЫ)+3PL(ЛАр);	ки[V]: одеть | кит[V]: уйти, уходить
.	Type1
Аларның	алар+PN+GEN(нЫң);	алар[PN]: они
аяк	аяк+N+Sg+Nom;	аяк[N]: нога, ножка
тавышлары	тавыш+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	тавыш[N]: голос, звук, крик, шум
тынгач	тын+V+ADVV_ANT(ГАч);	тын[V]: затихнуть
,	Type2
Нәсимә	нәсимә+PROP+Sg+Nom;
:	Type2
'	Type4
—	Type2
әни…	Error
—	Type2
дип	ди+V+ADVV_ACC(Ып);	ди[V]: говорить, сказать
әйтә	әйт+V+PRES(Й);	әйт[V]: говорить, сказать
башлаган	башла+V+PCP_PS(ГАн);башла+V+PST_INDF(ГАн);	башла[V]: начать, начинать, начаться, начинаться
иде	и+V+PST_DEF(ДЫ);
дә	дә+PART;
,	Type2
үзенә	үз+PN+POSS_3(СЫ)+DIR(ГА);	үз[PN]: сам
аркасы	арка+N+Sg+POSS_3(СЫ)+Nom;	арка[N]: из-за, спина
белән	белән+POST;	белән[POST]: на, с
тиеп	ти+V+ADVV_ACC(Ып);
утырган	утыр+V+PCP_PS(ГАн);утыр+V+PST_INDF(ГАн);	утыр[V]: посидеть, садиться, сидеть
әнкәсенең	әнкә+N+Sg+POSS_3(СЫ)+GEN(нЫң);	әнкә[N]: мама
:	Type2
—	Type2
Кодрәтең	кодрәт+N+Sg+POSS_2SG(Ың)+Nom;	кодрәт[N]: мощь
белән	белән+POST;	белән[POST]: на, с
терелтә	терел+V+CAUS(т)+PRES(Й);терелт+V+PRES(Й);
күр	күр+V+IMP_SG();	күр[V]: видеть
,	Type2
—	Type2
Error	дип;
ди+V+ADVV_ACC(Ып);	теләк;	теләк: желание
теләк+N+Sg+Nom;	теләвен;
телә+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);	ишеткәч;
ишет+V+ADVV_ANT(ГАч);	,;	,: ,
Type2	бер;	бер: один, первый
бер+Num;бер+PN;	кулын;
кул+N+Sg+POSS_3(СЫ)+ACC(нЫ);	аның;
ул+PN+GEN(нЫң);	тезенә;
тез+N+Sg+POSS_3(СЫ)+DIR(ГА);тез+V+REFL(Ын)+PRES(Й);	куеп;
куй+V+ADVV_ACC(Ып);	,;	,: ,
Type2	икенче;
ике+Num+NUM_ORD(ЫнчЫ);	кулы;
кул+N+Sg+POSS_3(СЫ)+Nom;	белән;	белән: и, на, с
белән+POST;	үзенең;
үзе+PN+GEN(нЫң);	баш;	баш: голова
баш+N+Sg+Nom;	түбәсен;
түбә+N+Sg+POSS_3(СЫ)+ACC(нЫ);	каплап;
кап+N+DISTR(лАп);капла+V+ADVV_ACC(Ып);	,;	,: ,
Type2	күзләрен;
күз+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	йомды;
йом+V+PST_DEF(ДЫ);	.;
Type1	Ләкин;
ләкин+CNJ;	күпме;	күпме: сколько, какой
күп+Adj+INT(мЫ);күпме+PN;	арылса;
ар+V+PASS(Ыл)+COND(сА);ары+V+PASS(Ыл)+COND(сА);арыл+V+COND(сА);	да;	да: тоже, и
да+PART;	бик;	бик: очень, замок
бик+Adv;	озак;	озак: долгий, долго
озак+Adj;	йоклый;
йокла+V+PRES(Й);	алмады;
ал+V+NEG(мА)+PST_DEF(ДЫ);	ул;	ул: он, она, оно, они, его, их, этот, сын
ул+N+Sg+Nom;ул+PN;	.;
Type1	Төрле;	Төрле: разный
төр+N+ATTR_MUN(лЫ);төрле+Adj;	яктан;
як+N+Sg+ABL(ДАн);	килгән;
кил+V+PCP_PS(ГАн);кил+V+PST_INDF(ГАн);	төнге;	төнге: ночной
төнге+Adj;	тавышлар;
тавыш+N+PL(ЛАр)+Nom;тавышла+V+FUT_INDF(Ыр);тавышла+V+PCP_FUT(Ыр);	бер;	бер: один, первый
бер+Num;бер+PN;	көчәяләр;
көчәй+V+PRES(Й)+3PL(ЛАр);	,;	,: ,
Type2	бер;	бер: один, первый
бер+Num;бер+PN;	тыналар;
тын+V+PRES(Й)+3PL(ЛАр);	.;
Type1	Еракта;
ерак+Adj+Sg+LOC(ДА);	—;	—: —
Type2	бик;	бик: очень, замок
бик+Adv;	еракта;
ерак+Adj+Sg+LOC(ДА);	,;	,: ,
Type2	соң;	соң: после, же, поздно, последний, поздний, конец
соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;	Error
15	Num
га	га+N+Sg+Nom;
калган	кал+V+PCP_PS(ГАн);кал+V+PST_INDF(ГАн);	кал[V]: оставаться, остаться
пароход	пароход+N+Sg+Nom;
кычкырта	кычкыр+V+CAUS(т)+PRES(Й);кычкырт+V+PRES(Й);	кычкыр[V]: крикнуть, кричать
,	Type2
кайдадыр	кай+PN+LOC(ДА)+3SG(ДЫр);кай+PN+LOC(ДА)+PROB(ДЫр);кайда+PN+PROB(ДЫр);	кайда[PN]: где
ишекләр	ишек+N+PL(ЛАр)+Nom;	ишек[N]: дверь
ачылып	ач+V+PASS(Ыл)+ADVV_ACC(Ып);ачыл+V+ADVV_ACC(Ып);	ач[V]: открывать, открыть | ачыл[V]: открываться, открыться
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);	ки[V]: одеть | кит[V]: уйти, уходить
Дә	дә+PART;
:	Type2
—	Type2
Мәрхәба	мәрхәба+N+Sg+Nom;
!	Type1
—	Type2
Хуш	хуш+Adj;хуш+INTRJ;	хуш[Adj]: бодрый, приятный, приятно
киләсез	кил+V+PRES(Й)+2PL(сЫз);	кил[V]: идти
,	Type2
тәкъсир…	Error
Боерыгыз	боер+N+Sg+POSS_2PL(ЫгЫз)+Nom;
!	Type1
—	Type2
Милости	Rus
просим…	Error
—	Type2
дигән	ди+V+PCP_PS(ГАн);ди+V+PST_INDF(ГАн);	ди[V]: говорить, сказать
сәер	сәер+Adj;	сәер[Adj]: странный, странно
сүзләр	сүз+N+PL(ЛАр)+Nom;	сүз[N]: слово
колакка	колак+N+Sg+DIR(ГА);	колак[N]: ухо
килеп	кил+V+ADVV_ACC(Ып);	кил[V]: идти
бәреләләр	бәр+V+PASS(Ыл)+PRES(Й)+3PL(ЛАр);бәрел+V+PRES(Й)+3PL(ЛАр);
иде	и+V+PST_DEF(ДЫ);
.	Type1
Якында	якын+Adj+Sg+LOC(ДА);	якын[Adj]: близкий, близко, ближе
гына	гына+PART;
кунаклар	кунак+N+PL(ЛАр)+Nom;кунакла+V+FUT_INDF(Ыр);кунакла+V+PCP_FUT(Ыр);	кунак[N]: гость
ташып	ташы+V+ADVV_ACC(Ып);	ташы[V]: таскать
йөрүче	йөр+V+VN_1(у/ү/в)+PCP_PR(чЫ);йөр+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;	йөр[V]: походить, ходить
көймәләрнең	көймә+N+PL(ЛАр)+GEN(нЫң);	көймә[N]: лодка
,	Type2
ләгәндәге	ләгән+N+Sg+ATTR_LOC(ДАгЫ);
суга	су+N+Sg+DIR(ГА);сук+V+PRES(Й);	су[N]: вода | сук[V]: бить, побить
рәхәтләнеп	рәхәтлән+V+ADVV_ACC(Ып);рәхәтләнеп+Adv;
,	Type2
кулларын	кул+N+PL(ЛАр)+POSS_3(СЫ)+ACC(нЫ);	кул[N]: рука
чәбәкләп	чәбәклә+V+ADVV_ACC(Ып);
уйнаучы	уйна+V+VN_1(у/ү/в)+PCP_PR(чЫ);уйна+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;	уйна[V]: играть, игра
бала	бала+N+Sg+Nom;	бала[N]: ребёнок
төсле	төс+N+ATTR_MUN(лЫ);төсле+Adj;төсле+POST;	төс[N]: цвет | төсле[Adj]: цветной
,	Type2
чапылдаулары	чапылда+V+VN_1(у/ү/в)+PL(ЛАр)+POSS_3(СЫ)+Nom;
ишетелә	ишет+V+PASS(Ыл)+PRES(Й);ишетел+V+PRES(Й);	ишет[V]: слышать, услышать
.	Type1
Лра-тирә	лра-тирә+N+Sg+Nom;
Гафифә	гафифә+N+Sg+Nom;
белән	белән+POST;	белән[POST]: на, с
карчыкның	кар+N+DIM(чЫк)+Sg+GEN(нЫң);карчык+N+Sg+GEN(нЫң);	кар[N]: снег | карчык[N]: старуха
:	Type2
—	Type2
Бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();	бар[N]: бар | бар[V]: идти, пойти
икән	икән+MOD;икән+PART;
күрәселәребез…	Error
—	Type2
Менә	мен+V+PRES(Й);менә+PART;	мен[V]: подниматься, подняться
билләһи…	Error
—	Type2
Кайчан	кайчан+Adv;кайчан+PN;	кайчан[Adv]: когда
котылабыз	котыл+V+PRES(Й)+1PL(бЫз);
инде	инде+PART;
шул	шул+PART;шул+PN;	шул[PN]: это, так, оттуда, потом
Бәдернисадан	бәдерниса+N+Sg+ABL(ДАн);
?	Type1
—	Type2
Бикәнең	бикә+N+Sg+GEN(нЫң);
үзеннән	үз+PN+POSS_3(СЫ)+ABL(ДАн);	үз[PN]: сам
уздырырга	уз+V+CAUS(ДЫр)+INF_1(ЫргА);уздыр+V+INF_1(ЫргА);	уз[V]: пройти, проходить
тырышып	тырыш+V+ADVV_ACC(Ып);	тырыш[V]: постараться, пытаться, стараться
,	Type2
нәгърә	нәгърә+N+Sg+Nom;
орып	ор+V+ADVV_ACC(Ып);
кына	кына+PART;
тора	тор+V+PRES(Й);	тор[V]: вставать, встать, стоять
бит	бит+N+Sg+Nom;бит+PART;	бит[N]: лицо, страница
,	Type2
хәерсез…	Error
—	Type2
дигән	ди+V+PCP_PS(ГАн);ди+V+PST_INDF(ГАн);	ди[V]: говорить, сказать
зарларына	зар+N+PL(ЛАр)+POSS_3(СЫ)+DIR(ГА);	зар[N]: жалоба
аралашып	арала+V+RECP(Ыш)+ADVV_ACC(Ып);аралаш+V+ADVV_ACC(Ып);	аралаш[V]: общаться
,	Type2
Бәдернйсаның	бәдернйсан+N+Sg+POSS_2SG(Ың)+Nom;бәдернйса+N+Sg+GEN(нЫң);
ачы	ач+Adj+Sg+POSS_3(СЫ)+Nom;ачы+Adj;	ачы[Adj]: кислый
тавышы	тавыш+N+Sg+POSS_3(СЫ)+Nom;	тавыш[N]: голос, звук, крик, шум
яңгырый	яңгыра+V+PRES(Й);
:	Type2
—	Type2
Баттыгызмы	бат+V+CAUS(т)+IMP_PL(ЫгЫз)+INT(мЫ);бат+V+PST_DEF(ДЫ)+2PL(гЫз)+INT(мЫ);
әллә	әллә+CNJ;әллә+PART;
сез	сез+PN;	сез[PN]: вы, ваш
анда	анда+PN;ул+PN+LOC(ДА);	ул[PN]: он, она, оно, они, его, их
?	Type1
—	Type2
Сезнең	сез+PN+GEN(нЫң);	сез[PN]: вы, ваш
аркада	арка+N+Sg+LOC(ДА);	арка[N]: из-за, спина
хур	хур+Adj;
булам	бул+V+PRES(Й)+1SG(м);	бул[V]: быть, случиться
ахыры	ахыр+N+Sg+POSS_3(СЫ)+Nom;	ахыр[N]: конец
бүген…	Error
Ләкин	ләкин+CNJ;
Нәсимәгә	нәсимә+PROP+DIR(ГА);
әнкәсенең	әнкә+N+Sg+POSS_3(СЫ)+GEN(нЫң);	әнкә[N]: мама
авыз	авыз+N+Sg+Nom;	авыз[N]: рот
эченнән	эч+N+Sg+POSS_3(СЫ)+ABL(ДАн);эченнән+POST;	эч[N]: в, из, внутри, в течение, внутренность
генә	генә+PART;
кабатлап	кабатла+V+ADVV_ACC(Ып);	кабатла[V]: повторить, повторять
укыган	укы+V+PCP_PS(ГАн);укы+V+PST_INDF(ГАн);	укы[V]: учиться, прочитать, читать
сүзләре	сүз+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	сүз[N]: слово
боларның	бу+PN+PL(ЛАр)+GEN(нЫң);	бу[PN]: это, здесь
барысына	бары+PN+POSS_3(СЫ)+DIR(ГА);	бары[PN]: весь
караганда	кара+V+PCP_PS(ГАн)+LOC(ДА);караганда+POST;	кара[V]: посмотреть, смотреть | караганда[POST]: по сравнению с
да	да+PART;
көчлерәк	көч+N+ATTR_MUN(лЫ)+COMP(рАк)+Sg+Nom;	көч[N]: сила
тоела	тоел+V+PRES(Й);той+V+PASS(Ыл)+PRES(Й);
иде	и+V+PST_DEF(ДЫ);
.	Type1
Менә	мен+V+PRES(Й);менә+PART;	мен[V]: подниматься, подняться
Мәликә	мәликә+PROP+Sg+Nom;
апа	апа+N+Sg+Nom;	апа[N]: сестра, тетя
тагын	тагын+Adv;	тагын[Adv]: ещё, опять, снова
бер	бер+Num;бер+PN;	бер[Num]: один, первый
тапкыр	тапкыр+Adj;тапкыр+N+Sg+Nom;	тапкыр[Adj]: находчивый
,	Type2
гүя	гүя+CNJ;
үзенең	үзе+PN+GEN(нЫң);
янында	ян+N+Sg+POSS_3(СЫ)+LOC(ДА);янында+POST;	ян[N]: к, мимо, у, бок
гына	гына+PART;
басып	бас+V+ADVV_ACC(Ып);	бас[V]: вставать, встать
торучы	тор+V+VN_1(у/ү/в)+PCP_PR(чЫ);тор+V+VN_1(у/ү/в)+PROF(чЫ)+Sg+Nom;	тор[V]: вставать, встать, стоять
,	Type2
•ләкин	Error
күзгә	күз+N+Sg+DIR(ГА);	күз[N]: глаз
күренгесез	күренгесез+N+Sg+Nom;
дусына	дус+N+Sg+POSS_3(СЫ)+DIR(ГА);	дус[N]: друг
ялварып	ялвар+V+ADVV_ACC(Ып);
,	Type2
шул	шул+PART;шул+PN;	шул[PN]: это, так, оттуда, потом
ук	ук+N+Sg+Nom;ук+PART;	ук[N]: стрела
вакытта	вакыт+N+Sg+LOC(ДА);	вакыт[N]: время, пора
йомыш	йом+V+RECP(Ыш)+IMP_SG();йом+V+VN_2(Ыш)+Nom;йомыш+N+Sg+Nom;	йом[V]: закрывать, закрыть | йомыш[N]: дело, поручение
кушкан	куш+V+PCP_PS(ГАн);куш+V+PST_INDF(ГАн);	куш[V]: велеть, складывать, сложить
шикелле	шикелле+POST;	шикелле[POST]: будто
итеп	ит+V+ADVV_ACC(Ып);	ит[V]: делать, сделать
,	Type2
пышылдады	пышылда+V+PST_DEF(ДЫ);	пышылда[V]: шептать
:	Type2
—	Type2
Йөрәкләренә	йөрәк+N+PL(ЛАр)+POSS_3(СЫ)+DIR(ГА);	йөрәк[N]: сердце
шәфкать-мәрхә	шәфкать-мәрхә+N+Sg+Nom;
Error	мәт;
NR	Хал;
Rus	!;
Type1	Дәваларының;
дәва+N+PL(ЛАр)+POSS_3(СЫ)+GEN(нЫң);	сихәтен;
сихәт+N+Sg+POSS_3(СЫ)+ACC(нЫ);	тидер;	тидер: касаться, коснуться
ти+V+CAUS(ДЫр)+IMP_SG();тидер+V+IMP_SG();	!;
Type1	Нәсимә;
нәсимә+PROP+Sg+Nom;	,;	,: ,
Type2	йокы;	йокы: сон
йокы+N+Sg+Nom;	аралаш;	аралаш: общаться
арала+V+RECP(Ыш)+IMP_SG();арала+V+VN_2(Ыш)+Nom;аралаш+POST;аралаш+V+IMP_SG();	аның;
ул+PN+GEN(нЫң);	үзенә;
үз+PN+POSS_3(СЫ)+DIR(ГА);	таба;	таба: к, сковорода
таба+N+Sg+Nom;таба+POST;тап+V+PRES(Й);	борылып;
бор+V+PASS(Ыл)+ADVV_ACC(Ып);борыл+V+ADVV_ACC(Ып);	ятуын;
ят+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);	һәм;	һәм: и
һәм+CNJ;	,;	,: ,
Type2	кытыршы;
кытыршы+Adj;	бармаклары;
бармак+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	белән;	белән: и, на, с
белән+POST;	,;	,: ,
Type2	йомшак;	йомшак: мягкий, мягко
йомшак+Adj;	кына;
кына+PART;	итеп;
ит+V+ADVV_ACC(Ып);	,;	,: ,
Type2	чәчләреннән;
чәч+N+PL(ЛАр)+POSS_3(СЫ)+ABL(ДАн);	сыйпавын;
сыйпа+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);	сизде;
сиз+V+PST_DEF(ДЫ);	.;
Уянып	уян+V+ADVV_ACC(Ып);	уян[V]: проснуться
киткәндә	ки+V+CAUS(т)+PCP_PS(ГАн)+LOC(ДА);кит+V+PCP_PS(ГАн)+LOC(ДА);	ки[V]: одеть | кит[V]: уйти, уходить
әнкәсенең	әнкә+N+Sg+POSS_3(СЫ)+GEN(нЫң);	әнкә[N]: мама
урыны	урын+N+Sg+POSS_3(СЫ)+Nom;	урын[N]: место
буш	буш+Adj;	буш[Adj]: пустой, пусто
,	Type2
ишек	ишек+N+Sg+Nom;	ишек[N]: дверь
төбендә	төп+Adj+Sg+POSS_3(СЫ)+LOC(ДА);төп+N+Sg+POSS_3(СЫ)+LOC(ДА);	төп[Adj]: главный, основной | төп[N]: дно
зур	зур+Adj;	зур[Adj]: большой
самоварны	самовар+N+Sg+ACC(нЫ);
бер	бер+Num;бер+PN;	бер[Num]: один, первый
колагыннан	колак+N+Sg+POSS_3(СЫ)+ABL(ДАн);	колак[N]: ухо
иңкәйтеп	иңкәй+V+CAUS(т)+ADVV_ACC(Ып);
тоткан	тот+V+PCP_PS(ГАн);тот+V+PST_INDF(ГАн);	тот[V]: держать
һәдия	һәдия+N+Sg+Nom;	һәдия[N]: подарок
түти	түти+N+Sg+Nom;
басып	бас+V+ADVV_ACC(Ып);	бас[V]: вставать, встать
тора	тор+V+PRES(Й);	тор[V]: вставать, встать, стоять
иде	и+V+PST_DEF(ДЫ);
.	Type1
—	Type2
Кояш	кояш+N+Sg+Nom;	кояш[N]: солнце
чыгып	чык+V+ADVV_ACC(Ып);	чык[V]: выйти, выходить
килә	кил+V+PRES(Й);	кил[V]: идти
бит	бит+N+Sg+Nom;бит+PART;	бит[N]: лицо, страница
,	Type2
ходаем	ходай+N+Sg+POSS_1SG(Ым)+Nom;
.	Type1
ә	ә+PART;
син	син+PN;	син[PN]: ты, твой
йоклыйсың…	Error
—	Type2
диде	ди+V+PST_DEF(ДЫ);	ди[V]: говорить, сказать
ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
.	Type1
Бүген	бүген+Adv;	бүген[Adv]: сегодня, сегодняшний
ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
ничектер	ничек+PN+PROB(ДЫр);
ачыграк	ачык+Adj+COMP(рАк)+Sg+Nom;	ачык[Adj]: открыто
чырайлы	чырай+N+ATTR_MUN(лЫ);	чырай[N]: лицо
.	Type1
Кичәгедәй	кичәге+Adj+Sg+SIM_1(ДАй);
сөмсерләре	сөмсер+N+PL(ЛАр)+POSS_3(СЫ)+Nom;
коелып	коел+V+ADVV_ACC(Ып);кой+V+PASS(Ыл)+ADVV_ACC(Ып);
,	Type2
зәһәр	зәһәр+N+Sg+Nom;	зәһәр[N]: отрава
чәчеп	чәч+V+ADVV_ACC(Ып);
йөрми	йөр+V+NEG(мА)+PRES(Й);	йөр[V]: походить, ходить
.	Type1
Ак	ак+Adj;ак+V+IMP_SG();	ак[Adj]: белый
төшкән	төш+V+PCP_PS(ГАн);төш+V+PST_INDF(ГАн);	төш[V]: опускаться, опуститься
күзләре	күз+N+PL(ЛАр)+POSS_3(СЫ)+Nom;	күз[N]: глаз
дә	дә+PART;
ул	ул+N+Sg+Nom;ул+PN;	ул[N]: сын | ул[PN]: он, она, оно, они, его, их
чаклы	чак+N+ATTR_MUN(лЫ);чаклы+POST;	чак[N]: время | чаклы[POST]: до
чекерәеп	чекерәй+V+ADVV_ACC(Ып);
тормыйлар	тор+V+NEG(мА)+PRES(Й)+3PL(ЛАр);	тор[V]: вставать, встать, стоять
.	Type1
Күңелле	күңел+N+ATTR_MUN(лЫ);	күңел[N]: душа
хәбәр	хәбәр+N+Sg+Nom;	хәбәр[N]: весть, сообщение
әйтергә	әйт+V+INF_1(ЫргА);	әйт[V]: говорить, сказать
хәзерләнгән	хәзерлә+V+REFL(Ын)+PCP_PS(ГАн);хәзерлә+V+REFL(Ын)+PST_INDF(ГАн);хәзерлән+V+PCP_PS(ГАн);хәзерлән+V+PST_INDF(ГАн);
күк	күк+Adj;күк+N+Sg+Nom;күк+POST;	күк[Adj]: голубой, синий | күк[N]: небо | күк[POST]: как
сөйкемлерәк	сөйкемле+Adj+COMP(рАк)+Sg+Nom;	сөйкемле[Adj]: симпатичный
карыйлар	кара+V+PRES(Й)+3PL(ЛАр);карый+N+PL(ЛАр)+Nom;	кара[V]: посмотреть, смотреть
иде	и+V+PST_DEF(ДЫ);
.	Type1
Нәсимә	нәсимә+PROP+Sg+Nom;
аңа	ул+PN+DIR(ГА);	ул[PN]: он, она, оно, они, его, их
